,City,Country,Lat,Lng,Hotel Name
375,escanaba,US,45.75,-87.06,Magnuson Grand Pioneer Inn and Suites
376,ugoofaaru,MV,5.67,73.0,Ungoofaaru Inn
377,ailigandi,PA,9.23,-78.02,San Blas Lodge
378,lucapa,AO,-8.42,20.74,
379,neuquen,AR,-38.95,-68.06,Neuquen Tower Hotel
380,zonguldak,TR,41.25,31.83,
381,kolokani,ML,13.57,-8.03,
382,jimenez,MX,28.33,-105.4,
383,gatesville,US,31.44,-97.74,Ramada by Wyndham Gatesville
384,sioux lookout,CA,50.1,-91.92,Sunset Inn & Suites
385,lethem,GY,3.38,-59.8,Rupununi Eco Hotel
386,surt,LY,31.21,16.59,Salam Hotel
387,mahibadhoo,MV,3.78,72.97,Liberty Guest House
388,gravdal,NO,68.12,13.5,Villa Ballstad
389,behbahan,IR,30.6,50.24,Esteghlal Hotel
390,chiredzi,ZW,-21.05,31.67,The Nesbitt Arms
391,severo-kurilsk,RU,50.68,156.12,Kak Doma
392,yar-sale,RU,66.83,70.83,Yalemd
393,atasu,KZ,48.68,71.64,
394,porto novo,BJ,6.5,2.6,Tour Eiffel Hotel Benin
395,batagay-alyta,RU,67.8,130.41,
396,naze,JP,28.37,129.48,Hotel New Amami
397,esperance,AU,-33.87,121.9,The Jetty Resort
398,longonjo,AO,-12.91,15.25,
399,glendive,US,47.11,-104.71,Astoria Hotel
400,katherine,AU,-14.47,132.27,The Stuart Hotel
401,nikolskoye,RU,59.7,30.79,Tourist House - Sablino
402,gamba,GA,-2.65,10.0,
403,jingdezhen,CN,29.29,117.21,游游家|YOYOHOUSE
404,rawson,AR,-43.3,-65.1,Hotel Punta León
405,kasempa,ZM,-13.46,25.83,Miracle Guest House
406,singarayakonda,IN,15.25,80.03,
407,aswan,EG,24.09,32.91,Hotel Sofitel Legend Old Cataract Aswan
408,sayyan,YE,15.17,44.32,
409,stadtbredimus,LU,49.56,6.36,Victor's Residenz-Hotel Schloss Berg
410,sept-iles,CA,50.2,-66.38,Château Arnaud
411,sangar,RU,63.92,127.47,
412,smithers,CA,54.78,-127.17,Stork Nest Inn
413,menongue,AO,-14.66,17.69,Ritz Lauca
414,grand gaube,MU,-20.01,57.66,Zilwa Attitude Hotel
415,guangyuan,CN,32.44,105.82,Guangyuan International Hotel
416,dumas,US,35.87,-101.97,Hampton Inn & Suites Dumas
417,jiaojiang,CN,28.68,121.44,Hilton Taizhou
418,moundou,TD,8.57,16.08,Mekab Sur-Man
419,highland,US,34.13,-117.21,Days Inn by Wyndham San Bernardino
420,lagos,NG,6.58,3.75,
421,ambovombe,MG,-25.17,46.08,Hotel Le Source
422,sibu,MY,2.3,111.82,Kingwood Hotel (Sibu) Sdn Bhd
423,puerto del rosario,ES,28.5,-13.86,Hotel El Mirador
424,sinazongwe,ZM,-17.26,27.46,Lakeview Lodge
425,oskemen,KZ,49.96,82.61,Shiny River Hotel
426,lavrentiya,RU,65.58,-171.0,
427,acapulco,MX,16.86,-99.89,Crowne Plaza Acapulco
428,mocuba,MZ,-16.84,36.99,Sāo Cristóvão
429,saint-joseph,RE,-21.37,55.62,Les Lodges Vanilliers
430,otjimbingwe,,-22.35,16.13,
431,canete,CL,-37.8,-73.4,Hotel Itahue
